Date,Value
2016-11-01,91.0771
2016-10-31,91.0757
2016-10-28,91.1233
2016-10-27,91.3128
2016-10-26,90.9014
2016-10-25,91.1303
2016-10-24,91.2811
2016-10-21,91.1126
2016-10-20,91.4153
2016-10-19,91.8003
2016-10-18,91.4185
2016-10-17,91.191
2016-10-14,90.8589
2016-10-13,90.6732
2016-10-12,90.6229
2016-10-11,91.0108
2016-10-10,91.3208
2016-10-07,90.9544
2016-10-06,91.2436
2016-10-05,91.1768
2016-10-04,91.6978
2016-10-03,91.3894
2016-09-30,91.0401
2016-09-29,90.6191
2016-09-28,90.1143
2016-09-27,89.509
2016-09-26,89.5731
2016-09-23,89.6906
2016-09-22,89.6081
2016-09-21,87.9945
2016-09-20,88.1552
2016-09-19,88.0638
2016-09-16,87.9804
2016-09-15,88.0308
2016-09-14,87.8592
2016-09-13,88.0423
2016-09-12,88.0402
2016-09-09,87.9582
2016-09-08,88.3096
2016-09-07,88.4335
2016-09-06,88.2828
2016-09-05,87.9209
2016-09-02,87.5426
2016-09-01,87.3339
2016-08-31,87.6794
2016-08-30,87.4825
2016-08-26,88.1459
2016-08-25,87.8617
2016-08-24,87.7595
2016-08-23,87.9278
2016-08-22,87.6262
2016-08-19,87.8422
2016-08-18,88.1584
2016-08-17,87.9766
2016-08-16,88.1448
2016-08-15,88.6603
2016-08-12,88.6698
2016-08-11,88.4051
2016-08-10,88.188
2016-08-09,87.018
2016-08-08,86.4545
2016-08-05,86.2169
2016-08-04,86.3959
2016-08-03,86.2779
2016-08-02,86.0426
2016-08-01,86.1485
2016-07-29,86.3548
2016-07-28,85.8778
2016-07-27,85.9504
2016-07-26,86.0356
2016-07-25,86.1358
2016-07-22,86.5595
2016-07-21,87.0016
2016-07-20,86.7484
2016-07-19,86.6674
2016-07-18,86.6178
2016-07-15,86.6704
2016-07-14,87.2008
2016-07-13,86.8037
2016-07-12,86.9317
2016-07-11,86.5173
2016-07-08,86.0693
2016-07-07,86.625
2016-07-06,86.4258
2016-07-05,87.1051
2016-07-04,87.5731
2016-07-01,87.3581
2016-06-30,87.0591
2016-06-29,86.7634
2016-06-28,86.0539
2016-06-27,85.5336
2016-06-24,86.0325
2016-06-23,86.5087
2016-06-22,85.7804
2016-06-21,85.6509
2016-06-20,85.9288
2016-06-17,85.2937
2016-06-16,85.4055
2016-06-15,86.3349
2016-06-14,86.1203
2016-06-13,86.5674
2016-06-10,86.9661
2016-06-09,87.2112
2016-06-08,87.1662
